Timestamp,Parking Spot,Occupied
2024-10-29 15:03:01.315119,Spot 1,Occupied
2024-10-29 15:03:01.347228,Spot 1,Occupied
2024-10-29 15:03:01.379157,Spot 1,Occupied
2024-10-29 15:03:01.411589,Spot 1,Occupied
2024-10-29 15:03:01.442726,Spot 1,Occupied
2024-10-29 15:03:01.490648,Spot 1,Occupied
2024-10-29 15:03:01.523217,Spot 1,Occupied
2024-10-29 15:03:01.563815,Spot 1,Occupied
2024-10-29 15:03:01.587425,Spot 1,Occupied
2024-10-29 15:03:01.619328,Spot 1,Occupied
2024-10-29 15:03:01.664184,Spot 1,Occupied
2024-10-29 15:03:01.699054,Spot 1,Occupied
2024-10-29 15:03:01.715136,Spot 1,Occupied
2024-10-29 15:03:01.747308,Spot 1,Occupied
2024-10-29 15:03:01.783506,Spot 1,Occupied
2024-10-29 15:03:01.826771,Spot 1,Occupied
2024-10-29 15:03:01.864795,Spot 1,Occupied
2024-10-29 15:03:01.891367,Spot 1,Occupied
2024-10-29 15:03:01.906995,Spot 6,Occupied
2024-10-29 15:03:01.923237,Spot 1,Occupied
2024-10-29 15:03:01.938906,Spot 6,Occupied
2024-10-29 15:03:01.964955,Spot 1,Occupied
2024-10-29 15:03:01.986752,Spot 1,Occupied
2024-10-29 15:03:02.002417,Spot 6,Occupied
2024-10-29 15:03:02.034798,Spot 1,Occupied
2024-10-29 15:03:02.114723,Spot 6,Occupied
2024-10-29 15:03:02.226955,Spot 6,Occupied
2024-10-29 15:03:02.265544,Spot 6,Occupied
2024-10-29 15:03:02.291526,Spot 6,Occupied
2024-10-29 15:03:02.323590,Spot 6,Occupied
2024-10-29 15:03:02.365431,Spot 6,Occupied
2024-10-29 15:03:03.251244,Spot 6,Occupied
2024-10-29 15:03:03.283759,Spot 5,Occupied
2024-10-29 15:03:03.283759,Spot 6,Occupied
2024-10-29 15:03:03.314901,Spot 5,Occupied
2024-10-29 15:03:03.314901,Spot 6,Occupied
2024-10-29 15:03:03.347461,Spot 5,Occupied
2024-10-29 15:03:03.347461,Spot 6,Occupied
2024-10-29 15:03:03.379480,Spot 5,Occupied
2024-10-29 15:03:03.395107,Spot 6,Occupied
2024-10-29 15:03:03.395107,Spot 16,Occupied
2024-10-29 15:03:03.410879,Spot 5,Occupied
2024-10-29 15:03:03.426522,Spot 6,Occupied
2024-10-29 15:03:03.426522,Spot 16,Occupied
2024-10-29 15:03:03.443308,Spot 5,Occupied
2024-10-29 15:03:03.458936,Spot 6,Occupied
2024-10-29 15:03:03.458936,Spot 16,Occupied
2024-10-29 15:03:03.475428,Spot 5,Occupied
2024-10-29 15:03:03.475428,Spot 6,Occupied
2024-10-29 15:03:03.491058,Spot 16,Occupied
2024-10-29 15:03:03.507683,Spot 5,Occupied
2024-10-29 15:03:03.523313,Spot 16,Occupied
2024-10-29 15:03:03.539250,Spot 5,Occupied
2024-10-29 15:03:03.539250,Spot 16,Occupied
2024-10-29 15:03:03.571375,Spot 5,Occupied
2024-10-29 15:03:03.571375,Spot 16,Occupied
2024-10-29 15:03:03.603514,Spot 5,Occupied
2024-10-29 15:03:03.619145,Spot 16,Occupied
2024-10-29 15:03:03.651131,Spot 5,Occupied
2024-10-29 15:03:03.666759,Spot 16,Occupied
2024-10-29 15:03:03.699276,Spot 5,Occupied
2024-10-29 15:03:03.699276,Spot 9,Occupied
2024-10-29 15:03:03.699276,Spot 10,Occupied
2024-10-29 15:03:03.699276,Spot 16,Occupied
2024-10-29 15:03:03.715092,Spot 5,Occupied
